1	128	2	-26	31	-67	21	15
2	132	0	-15	34	-26	20	12
3	99	0	-15	30	28	26	10
4	121	3	-34	42	-52	22	15
5	128	-1	-19	28	-59	21	15
6	138	4	-21	34	33	19	11
7	120	3	-27	33	51	22	11
8	128	0	-37	38	-49	21	15
9	109	2	-16	40	-23	24	12
10	116	0	-34	28	42	23	15
11	126	1	-22	26	-16	21	11
12	127	0	-22	27	2	21	15
13	121	3	-30	29	42	22	13
14	127	4	-36	30	-1	21	15
15	116	7	-40	33	2	23	15
16	134	-1	-27	39	29	20	12
17	132	5	-24	33	-28	20	14
18	121	3	-34	42	25	22	15
19	122	3	-39	36	-41	22	15
20	140	11	-26	44	34	19	13
21	125	7	-23	37	48	21	11
22	163	0	-14	14	-33	16	7
23	140	0	-34	22	-25	19	14
24	122	3	-39	36	-15	22	15
25	145	4	-17	25	13	18	9
26	100	5	-20	33	49	26	9
27	146	4	-37	58	5	18	15
28	132	8	-46	33	33	20	14
29	124	5	-23	36	13	21	11
30	121	1	-31	35	-38	22	15
31	132	2	-20	40	-38	20	13
